cell,arm,seed,benchmark,language,n_samples,pass_at_1,maj_at_4,maj_at_8
Base,Base,,amc23,en,40,0.5,0.0,
Base,Base,,aime2024,en,30,0.26666666666666666,,0.3333333333333333
Base,Base,,math500,en,500,0.594,,
Base (P9),Base,,mgsm,sw,250,0.024,,
Base (P9),Base,,mgsm,es,250,0.656,,
Base (P9),Base,,mgsm,th,250,0.236,,
Base (P9),Base,,mgsm,fr,250,0.612,,
Base (P9),Base,,mgsm,ru,250,0.588,,
Base (P9),Base,,mgsm,de,250,0.572,,
Base (P9),Base,,mgsm,en,250,0.804,,
Base (P9),Base,,mgsm,zh,250,0.688,,
Base (P9),Base,,mgsm,bn,250,0.18,,
Base (P9),Base,,mgsm,ja,250,0.372,,
A1_42,A1,42,aime2024,en,30,0.1,,0.3
A1_42,A1,42,math500,en,500,0.588,,
A1_42,A1,42,amc23,en,40,0.575,0.0,
A1_123,A1,123,aime2024,en,30,0.23333333333333334,,0.4
A1_123,A1,123,math500,en,500,0.616,,
A1_123,A1,123,amc23,en,40,0.45,0.775,
A1_7,A1,7,math500,en,500,0.586,,
A1_7,A1,7,amc23,en,40,0.675,0.75,
A1_7,A1,7,aime2024,en,30,0.1,,0.26666666666666666
A2_42,A2,42,amc23,en,40,0.525,0.0,
A2_42,A2,42,aime2024,en,30,0.16666666666666666,,0.3333333333333333
A2_42,A2,42,math500,en,500,0.602,,
A2_123,A2,123,amc23,en,40,0.625,0.8,
A2_123,A2,123,aime2024,en,30,0.16666666666666666,,0.3333333333333333
A2_123,A2,123,math500,en,500,0.62,,
A2_7,A2,7,aime2024,en,30,0.26666666666666666,,0.36666666666666664
A2_7,A2,7,math500,en,500,0.602,,
A2_7,A2,7,amc23,en,40,0.55,0.75,
A3_42,A3,42,aime2024,en,30,0.23333333333333334,,0.36666666666666664
A3_42,A3,42,math500,en,500,0.606,,
A3_42,A3,42,amc23,en,40,0.525,0.0,
A3_123,A3,123,aime2024,en,30,0.2,,0.36666666666666664
A3_123,A3,123,amc23,en,40,0.55,0.7,
A3_123,A3,123,math500,en,500,0.614,,
A3_7,A3,7,amc23,en,40,0.65,0.6,
A3_7,A3,7,aime2024,en,30,0.2,,0.4
A3_7,A3,7,math500,en,500,0.602,,
A4_42,A4,42,math500,en,500,0.62,,
A4_42,A4,42,aime2024,en,30,0.26666666666666666,,0.3333333333333333
A4_42,A4,42,amc23,en,40,0.525,0.675,
BaseMGSM,Base,,mgsm,en,250,0.804,,
BaseMGSM,Base,,mgsm,es,250,0.656,,
BaseMGSM,Base,,mgsm,fr,250,0.612,,
BaseMGSM,Base,,mgsm,de,250,0.572,,
BaseMGSM,Base,,mgsm,ru,250,0.588,,
BaseMGSM,Base,,mgsm,zh,250,0.688,,
BaseMGSM,Base,,mgsm,ja,250,0.372,,
BaseMGSM,Base,,mgsm,th,250,0.236,,
BaseMGSM,Base,,mgsm,sw,250,0.024,,
BaseMGSM,Base,,mgsm,bn,250,0.18,,
A1_123_MGSM,A1,123,mgsm,en,250,0.812,,
